name_product,product_link,price_sale,price_original,discount,sold,rating,image_link
Exsport Return Pack Bundle,https://www.tokopedia.com/exsportstore/exsport-return-pack-bundle-1730991043490776312?extParam=src%3Dshop%26whid%3D17822218&aff_unique_id=&channel=others&chain_key=,Rp749.000,Rp938.000,20%,,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2025/3/11/38eb16c8-0b7e-46e2-9ac7-bb365b1e5ecc.jpg
Exsport Homecoming Pack Bundle,https://www.tokopedia.com/exsportstore/exsport-homecoming-pack-bundle-1730991003106510072?extParam=src%3Dshop%26whid%3D17822218&aff_unique_id=&channel=others&chain_key=,Rp499.000,Rp668.000,25%,,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2025/3/11/b5a7632e-2c0a-4956-b8cf-e64b88f205e1.jpg
"Exsport Classic ""RR01 1979"" Backpack -  Light Pink",https://www.tokopedia.com/exsportstore/exsport-classic-rr01-1979-backpack-light-pink-1730975085418808568?extParam=src%3Dshop%26whid%3D17822218&aff_unique_id=&channel=others&chain_key=,Rp426.550,Rp449.000,5%,,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2025/3/7/5fb45173-54f4-4349-ab81-5bb8133a2551.jpg
"Exsport Classic ""RR01 1979"" Backpack -  Dark Grey",https://www.tokopedia.com/exsportstore/exsport-classic-rr01-1979-backpack-dark-grey-1730975084368528632?extParam=src%3Dshop%26whid%3D17822218&aff_unique_id=&channel=others&chain_key=,Rp426.550,Rp449.000,5%,,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2025/3/7/69550b96-f294-4ef1-bbba-93a2e0174c21.jpg
Exsport Everyday Laptop Compartment Bag -  Light Yellow,https://www.tokopedia.com/exsportstore/exsport-everyday-laptop-compartment-bag-light-yellow-1730965249101694200?extParam=src%3Dshop%26whid%3D17822218&aff_unique_id=&channel=others&chain_key=,Rp312.550,Rp329.000,5%,,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2025/3/5/5338df7a-2f0b-451e-96ae-8711ddeaf29c.jpg
Exsport Everyday Laptop Compartment Bag -  Dark Olive,https://www.tokopedia.com/exsportstore/exsport-everyday-laptop-compartment-bag-dark-olive-1730965251115287800?extParam=src%3Dshop%26whid%3D17822218&aff_unique_id=&channel=others&chain_key=,Rp312.550,Rp329.000,5%,,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2025/3/5/bcf07c04-76ca-4d05-87f9-71f9a1ee5757.jpg
Exsport Everyday Laptop Compartment Bag -  Purple,https://www.tokopedia.com/exsportstore/exsport-everyday-laptop-compartment-bag-purple-1730965248827032824?extParam=src%3Dshop%26whid%3D17822218&aff_unique_id=&channel=others&chain_key=,Rp312.550,Rp329.000,5%,,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2025/3/5/1958d80c-6799-46f9-86a7-746f2ee62d57.jpg
Exsport Easy Going Mini Backpack -  Light Pink,https://www.tokopedia.com/exsportstore/exsport-easy-going-mini-backpack-light-pink-1730965132959450360?extParam=src%3Dshop%26whid%3D17822218&aff_unique_id=&channel=others&chain_key=,Rp284.050,Rp299.000,5%,,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2025/3/5/a170a1a6-d6a4-4e0c-a2b6-1c3de0c14e94.jpg
Exsport Easy Going Mini Backpack -  Emerald Green,https://www.tokopedia.com/exsportstore/exsport-easy-going-mini-backpack-emerald-green-1730965129586443512?extParam=src%3Dshop%26whid%3D17822218&aff_unique_id=&channel=others&chain_key=,Rp284.050,Rp299.000,5%,,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2025/3/5/a0f7dbfc-1ff5-420c-adc9-08b301d2a9e1.jpg
Exsport Kumara Tote Bag -  Beige,https://www.tokopedia.com/exsportstore/exsport-kumara-tote-bag-beige-1730965082423526648?extParam=src%3Dshop%26whid%3D17822218&aff_unique_id=&channel=others&chain_key=,Rp303.050,Rp319.000,5%,,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2025/3/5/2c012535-0364-4e14-9dac-43743d7aa581.jpg
Exsport Kumara Tote Bag -  Maroon,https://www.tokopedia.com/exsportstore/exsport-kumara-tote-bag-maroon-1730965072737240312?extParam=src%3Dshop%26whid%3D17822218&aff_unique_id=&channel=others&chain_key=,Rp303.050,Rp319.000,5%,,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2025/3/5/769fb974-ec2c-47f3-b038-0d2a44e3f9e7.jpg
Exsport Daily Carry Hand Bag - Fucshia,https://www.tokopedia.com/exsportstore/exsport-daily-carry-hand-bag-fucshia-1730964296116897016?extParam=src%3Dshop%26whid%3D17822218&aff_unique_id=&channel=others&chain_key=,Rp122.550,Rp129.000,5%,,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2025/3/5/5c5cbc2a-1494-48b6-9242-8e225de40245.jpg
Exsport Daily Carry Hand Bag - Pink,https://www.tokopedia.com/exsportstore/exsport-daily-carry-hand-bag-pink-1730964295832798456?extParam=src%3Dshop%26whid%3D17822218&aff_unique_id=&channel=others&chain_key=,Rp122.550,Rp129.000,5%,,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2025/3/5/851339a7-48ec-4311-842a-25e9365a65f7.jpg
Exsport Daily Carry Hand Bag - Cream,https://www.tokopedia.com/exsportstore/exsport-daily-carry-hand-bag-cream-1730964249464702200?extParam=src%3Dshop%26whid%3D17822218&aff_unique_id=&channel=others&chain_key=,Rp122.550,Rp129.000,5%,,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2025/3/5/5f7e493c-423d-4680-a9c5-d1c5bf9b069f.jpg
Exsport Daily Carry Hand Bag - Blueberry,https://www.tokopedia.com/exsportstore/exsport-daily-carry-hand-bag-blueberry-1730964189230892280?extParam=src%3Dshop%26whid%3D17822218&aff_unique_id=&channel=others&chain_key=,Rp122.550,Rp129.000,5%,,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2025/3/5/6bfcc2db-2c36-4dd9-b529-10d21b83885f.jpg
Exsport Daily Carry Hand Bag - Navy,https://www.tokopedia.com/exsportstore/exsport-daily-carry-hand-bag-navy-1730964196138190072?extParam=src%3Dshop%26whid%3D17822218&aff_unique_id=&channel=others&chain_key=,Rp122.550,Rp129.000,5%,,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2025/3/5/5f6c8d6e-8144-47da-82fb-feeca33aa21c.jpg
Exsport Daily Carry Hand Bag - Light Brown,https://www.tokopedia.com/exsportstore/exsport-daily-carry-hand-bag-light-brown-1730964188524938488?extParam=src%3Dshop%26whid%3D17822218&aff_unique_id=&channel=others&chain_key=,Rp122.550,Rp129.000,5%,,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2025/3/5/0f364a4d-1f12-400b-b147-1f11d72cb4f5.jpg
Exsport Flow And Go 102 Tote Bag -  Maroon,https://www.tokopedia.com/exsportstore/exsport-flow-and-go-102-tote-bag-maroon-1730962647043441912?extParam=src%3Dshop%26whid%3D17822218&aff_unique_id=&channel=others&chain_key=,Rp521.550,Rp549.000,5%,,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2025/3/5/a9c91070-261c-477b-8487-57c2f4dd80d4.jpg
Exsport Flow And Go 102 Tote Bag -  Beige,https://www.tokopedia.com/exsportstore/exsport-flow-and-go-102-tote-bag-beige-1730962629393679608?extParam=src%3Dshop%26whid%3D17822218&aff_unique_id=&channel=others&chain_key=,Rp521.550,Rp549.000,5%,,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2025/3/5/d9184a30-91de-4e02-894c-3af8cd092bce.jpg
Exsport Flow And Go 102 Tote Bag -  Dark Blue,https://www.tokopedia.com/exsportstore/exsport-flow-and-go-102-tote-bag-dark-blue-1730962622747411704?extParam=src%3Dshop%26whid%3D17822218&aff_unique_id=&channel=others&chain_key=,Rp521.550,Rp549.000,5%,,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2025/3/5/c39f4c9d-9143-4048-b7e4-8e851b4d8bd2.jpg
Exsport Flow And Go 102 Tote Bag -  Black,https://www.tokopedia.com/exsportstore/exsport-flow-and-go-102-tote-bag-black-1730962453741798648?extParam=src%3Dshop%26whid%3D17822218&aff_unique_id=&channel=others&chain_key=,Rp521.550,Rp549.000,5%,,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2025/3/5/bf7b3157-279d-4301-b193-2b5f2216effd.jpg
Exsport Everyday Lanyard - Dark Olive,https://www.tokopedia.com/exsportstore/exsport-everyday-lanyard-dark-olive-1730961374450517240?extParam=src%3Dshop%26whid%3D17822218&aff_unique_id=&channel=others&chain_key=,Rp170.050,Rp179.000,5%,,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2025/3/5/ebf2214e-3ede-48fe-9b8b-f88df6fc6b93.jpg
Exsport Everyday Lanyard - Blueberry,https://www.tokopedia.com/exsportstore/exsport-everyday-lanyard-blueberry-1730961368472257784?extParam=src%3Dshop%26whid%3D17822218&aff_unique_id=&channel=others&chain_key=,Rp170.050,Rp179.000,5%,,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2025/3/5/725a576b-1142-4ba3-adcc-d7911fd9cd3e.jpg
Exsport Everyday Lanyard - Emerald Green,https://www.tokopedia.com/exsportstore/exsport-everyday-lanyard-emerald-green-1730961365493056760?extParam=src%3Dshop%26whid%3D17822218&aff_unique_id=&channel=others&chain_key=,Rp170.050,Rp179.000,5%,,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2025/3/5/8ca6abaa-2d75-426a-9e16-9cc0312682c2.jpg
Exsport Everyday Lanyard - Light Pink,https://www.tokopedia.com/exsportstore/exsport-everyday-lanyard-light-pink-1730961365191329016?extParam=src%3Dshop%26whid%3D17822218&aff_unique_id=&channel=others&chain_key=,Rp170.050,Rp179.000,5%,,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2025/3/5/764074e3-ca61-49ec-9ab4-85a21ab9ad10.jpg
Exsport Everyday Lanyard - Red,https://www.tokopedia.com/exsportstore/exsport-everyday-lanyard-red-1730961357898482936?extParam=src%3Dshop%26whid%3D17822218&aff_unique_id=&channel=others&chain_key=,Rp170.050,Rp179.000,5%,,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2025/3/5/5621c9bb-72c3-488f-8a40-5de87a28c192.jpg
Exsport Shoulder Pads Extension -  Beige,https://www.tokopedia.com/exsportstore/exsport-shoulder-pads-extension-beige-1730951603385369848?extParam=whid%3D17822218%26src%3Dshop&aff_unique_id=&channel=others&chain_key=,Rp160.550,Rp169.000,5%,,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2025/3/3/bab6da62-5a54-413c-bb5e-600cef56e283.jpg
Exsport Shoulder Pads Extension -  Maroon,https://www.tokopedia.com/exsportstore/exsport-shoulder-pads-extension-maroon-1730951588002563320?extParam=src%3Dshop%26whid%3D17822218&aff_unique_id=&channel=others&chain_key=,Rp160.550,Rp169.000,5%,,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2025/3/3/e1d3f7f2-9f51-4998-b9e5-8f04eda8ba63.jpg
Exsport Shoulder Pads Extension -  Light Blue,https://www.tokopedia.com/exsportstore/exsport-shoulder-pads-extension-light-blue-1730951583284299000?extParam=src%3Dshop%26whid%3D17822218&aff_unique_id=&channel=others&chain_key=,Rp160.550,Rp169.000,5%,,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2025/3/3/cea8bd8c-3b5f-4e8d-a290-1a9603da6d72.jpg
Exsport Shoulder Pads Extension -  Light Brown,https://www.tokopedia.com/exsportstore/exsport-shoulder-pads-extension-light-brown-1730951581965518072?extParam=src%3Dshop%26whid%3D17822218&aff_unique_id=&channel=others&chain_key=,Rp160.550,Rp169.000,5%,,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2025/3/3/61ad1850-1340-4506-9a2d-d9be0b13c053.jpg
Exsport Shoulder Pads Extension -  Black,https://www.tokopedia.com/exsportstore/exsport-shoulder-pads-extension-black-1730951579914568952?extParam=src%3Dshop%26whid%3D17822218&aff_unique_id=&channel=others&chain_key=,Rp160.550,Rp169.000,5%,,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2025/3/3/6a889f20-4080-4751-b362-20798dcdcb9f.jpg
